epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4064,3.59751,6.36188,3.85875,0,0,0,0,3.26885,5.64505,3.9078,0.000411255,0.000411255,0.000411255
2,50.9901,2.51275,4.47638,2.66751,0.7872,0.0636,0.11106,0.04213,2.32175,3.80069,2.85833,0.000822458,0.000822458,0.000822458
3,68.994,2.04999,3.19089,2.19015,0.35302,0.37854,0.31677,0.16562,1.78316,4.80114,2.06643,0.00122816,0.00122816,0.00122816
4,86.6242,1.78106,2.31911,1.91763,0.61735,0.46112,0.5246,0.29324,1.63131,3.24911,1.89518,0.00122525,0.00122525,0.00122525
5,104.09,1.63875,1.92879,1.7556,0.62038,0.58501,0.63336,0.38728,1.44062,1.67485,1.71257,0.001217,0.001217,0.001217
6,121.558,1.54438,1.68963,1.67247,0.65493,0.61957,0.66028,0.4011,1.41885,1.82863,1.68668,0.00120875,0.00120875,0.00120875
7,138.979,1.44241,1.51306,1.58544,0.66041,0.53817,0.60948,0.37341,1.39439,1.65447,1.63413,0.0012005,0.0012005,0.0012005
8,156.338,1.3957,1.46007,1.53971,0.673,0.66926,0.7189,0.47172,1.23009,1.34717,1.47573,0.00119225,0.00119225,0.00119225
9,173.721,1.38019,1.39661,1.52201,0.72999,0.62418,0.73332,0.47698,1.2429,1.8017,1.4555,0.001184,0.001184,0.001184
10,191.028,1.30661,1.26975,1.45587,0.77676,0.70777,0.78702,0.52498,1.18862,1.16346,1.43397,0.00117575,0.00117575,0.00117575
11,208.435,1.29344,1.27333,1.45691,0.75913,0.65079,0.75298,0.50002,1.20411,1.23712,1.43842,0.0011675,0.0011675,0.0011675
12,226.2,1.27662,1.22497,1.42714,0.72055,0.67717,0.7586,0.51133,1.1445,1.32162,1.39799,0.00115925,0.00115925,0.00115925
13,243.617,1.25252,1.19282,1.42209,0.73753,0.6441,0.721,0.48596,1.15541,1.44538,1.39654,0.001151,0.001151,0.001151
14,260.969,1.20188,1.12121,1.35959,0.79401,0.75716,0.834,0.57825,1.09863,1.03234,1.34076,0.00114275,0.00114275,0.00114275
15,278.447,1.2153,1.12325,1.3802,0.77902,0.71075,0.80353,0.55696,1.08425,1.21781,1.33402,0.0011345,0.0011345,0.0011345
16,295.897,1.2111,1.11205,1.38227,0.81568,0.71762,0.83045,0.57508,1.05894,1.09435,1.33036,0.00112625,0.00112625,0.00112625
17,313.222,1.20779,1.0776,1.37219,0.77741,0.71226,0.79742,0.53778,1.14389,1.12129,1.37534,0.001118,0.001118,0.001118
18,330.578,1.19862,1.05344,1.35975,0.80428,0.7398,0.82395,0.5686,1.08354,1.07215,1.32083,0.00110975,0.00110975,0.00110975
19,347.868,1.17183,1.03264,1.3468,0.75188,0.6778,0.75931,0.52206,1.1621,1.21794,1.361,0.0011015,0.0011015,0.0011015
20,365.229,1.1642,1.02592,1.32598,0.82099,0.76239,0.85714,0.59713,1.06755,0.93487,1.30564,0.00109325,0.00109325,0.00109325
21,382.586,1.13229,0.99898,1.31539,0.85586,0.76237,0.86557,0.60739,1.06709,0.92023,1.3028,0.001085,0.001085,0.001085
22,399.969,1.16626,0.97611,1.33814,0.83046,0.77826,0.85299,0.58152,1.12937,0.92617,1.35636,0.00107675,0.00107675,0.00107675
23,417.414,1.14755,0.97694,1.32088,0.80009,0.81096,0.86551,0.61331,1.03879,0.87018,1.2924,0.0010685,0.0010685,0.0010685
24,434.82,1.12331,0.9313,1.30251,0.78056,0.7624,0.81665,0.56762,1.10785,0.99582,1.32743,0.00106025,0.00106025,0.00106025
